genusURN,genusName,familyURN,tsnID
urn:cite:botcar:genera.Phleum,Phleum,urn:cite:botcar:family.Gramineae,"to be added"
urn:cite:botcar:genera.Phlox,Phlox,urn:cite:botcar:family.Polemoniaceae,"to be added"
urn:cite:botcar:genera.Phyla,Phyla,urn:cite:botcar:family.Verbenaceae,"to be added"
urn:cite:botcar:genera.Physalis,Physalis,urn:cite:botcar:family.Solanaceae,"to be added"
urn:cite:botcar:genera.Physostegia,Physostegia,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Pityopsis,Pityopsis,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Platanthera,Platanthera,urn:cite:botcar:family.Orchidaceae,"to be added"
urn:cite:botcar:genera.Platanus,Platanus,urn:cite:botcar:family.Platanaceae,"to be added"
urn:cite:botcar:genera.Pluchea,Pluchea,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Podophyllum,Podophyllum,urn:cite:botcar:family.Berberidaceae,"to be added"
urn:cite:botcar:genera.Podostemum,Podostemum,urn:cite:botcar:family.Podostemaceae,"to be added"
urn:cite:botcar:genera.Polygala,Polygala,urn:cite:botcar:family.Polygalaceae,"to be added"
urn:cite:botcar:genera.Polygonatum,Polygonatum,urn:cite:botcar:family.Ruscaceae,"to be added"
urn:cite:botcar:genera.Polypremum,Polypremum,urn:cite:botcar:family.Tetrachondraceae,"to be added"
urn:cite:botcar:genera.Polystichum,Polystichum,urn:cite:botcar:family.Dryopteridaceae,"to be added"
urn:cite:botcar:genera.Polytrichum,Polytrichum,urn:cite:botcar:family.Polytrichaceae,"to be added"
urn:cite:botcar:genera.Pontederia,Pontederia,urn:cite:botcar:family.Pontederiaceae,"to be added"
urn:cite:botcar:genera.Populus,Populus,urn:cite:botcar:family.Salicaceae,"to be added"
urn:cite:botcar:genera.Prenanthes,Prenanthes,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Prunella,Prunella,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Prunus,Prunus,urn:cite:botcar:family.Rosaceae,"to be added"
urn:cite:botcar:genera.Pseudognaphalium,Pseudognaphalium,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Ptelea,Ptelea,urn:cite:botcar:family.Rutaceae,"to be added"
urn:cite:botcar:genera.Ptilimnium,Ptilimnium,urn:cite:botcar:family.Apiaceae,"to be added"
urn:cite:botcar:genera.Pycnanthemum,Pycnanthemum,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Pycnanthemum,Pycnanthemum,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Quercus,Quercus,urn:cite:botcar:family.Fagaceae,"to be added"
urn:cite:botcar:genera.Rhexia,Rhexia,urn:cite:botcar:family.Melastomataceae,"to be added"
urn:cite:botcar:genera.Rhynchosia,Rhynchosia,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Rhynchospora,Rhynchospora,urn:cite:botcar:family.Cyperaceae,"to be added"
urn:cite:botcar:genera.Rubus,Rubus,urn:cite:botcar:family.Rosaceae,"to be added"
urn:cite:botcar:genera.Rudbeckia,Rudbeckia,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Sabatia,Sabatia,urn:cite:botcar:family.Gentianaceae,"to be added"
urn:cite:botcar:genera.Saccharum,Saccharum,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Salvia,Salvia,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Sarracenia,Sarracenia,urn:cite:botcar:family.Sarraceniaceae,"to be added"
urn:cite:botcar:genera.Saururus,Saururus,urn:cite:botcar:family.Saururaceae,"to be added"
urn:cite:botcar:genera.Scirpus,Scirpus,urn:cite:botcar:family.Cyperaceae,"to be added"
urn:cite:botcar:genera.Scutellaria,Scutellaria,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Selaginella,Selaginella,urn:cite:botcar:family.Selaginellaceae,"to be added"
urn:cite:botcar:genera.Senna,Senna,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Sericocarpus,Sericocarpus,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Setaria,Setaria,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Seymeria,Seymeria,urn:cite:botcar:family.Orobanchaceae,"to be added"
urn:cite:botcar:genera.Sida,Sida,urn:cite:botcar:family.Malvaceae,"to be added"
urn:cite:botcar:genera.Silene,Silene,urn:cite:botcar:family.Caryophyllaceae,"to be added"
urn:cite:botcar:genera.Silphium,Silphium,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Smallanthus,Smallanthus,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Smilax,Smilax,urn:cite:botcar:family.Smilacaceae,"to be added"
urn:cite:botcar:genera.Solidago,Solidago,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Spermacoce,Spermacoce,urn:cite:botcar:family.Rubiaceae,"to be added"
urn:cite:botcar:genera.Spigelia,Spigelia,urn:cite:botcar:family.Loganiaceae,"to be added"
urn:cite:botcar:genera.Sporobolus,Sporobolus,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Stachys,Stachys,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Stillingia,Stillingia,urn:cite:botcar:family.Euphorbiaceae,"to be added"
urn:cite:botcar:genera.Stylosanthes,Stylosanthes,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Styrax,Styrax,urn:cite:botcar:family.Styracaceae,"to be added"
urn:cite:botcar:genera.Symphyotrichum,Symphyotrichum,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Taxodium,Taxodium,urn:cite:botcar:family.Cupressaceae,"to be added"
urn:cite:botcar:genera.Tephrosia,Tephrosia,urn:cite:botcar:family.Fabaceae,"to be added"
urn:cite:botcar:genera.Teucrium,Teucrium,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Thalictrum,Thalictrum,urn:cite:botcar:family.Ranunculaceae,"to be added"
urn:cite:botcar:genera.Thaspium,Thaspium,urn:cite:botcar:family.Apiaceae,"to be added"
urn:cite:botcar:genera.Tilia,Tilia,urn:cite:botcar:family.Malvaceae,"to be added"
urn:cite:botcar:genera.Toxicodendron,Toxicodendron,urn:cite:botcar:family.Anacardiaceae,"to be added"
urn:cite:botcar:genera.Tragia,Tragia,urn:cite:botcar:family.Euphorbiaceae,"to be added"
urn:cite:botcar:genera.Trautvetteria,Trautvetteria,urn:cite:botcar:family.Ranunculaceae,"to be added"
urn:cite:botcar:genera.Triantha,Triantha,urn:cite:botcar:family.Tofieldiaceae,"to be added"
urn:cite:botcar:genera.Trichostema,Trichostema,urn:cite:botcar:family.Lamiaceae,"to be added"
urn:cite:botcar:genera.Trilisa,Trilisa,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Trillium,Trillium,urn:cite:botcar:family.Trilliaceae,"to be added"
urn:cite:botcar:genera.Triodanis,Triodanis,urn:cite:botcar:family.Campanulaceae,"to be added"
urn:cite:botcar:genera.Ulmus,Ulmus,urn:cite:botcar:family.Ulmaceae,"to be added"
urn:cite:botcar:genera.Uniola,Uniola,urn:cite:botcar:family.Poaceae,"to be added"
urn:cite:botcar:genera.Vaccinium,Vaccinium,urn:cite:botcar:family.Ericaceae,"to be added"
urn:cite:botcar:genera.Vernonia,Vernonia,urn:cite:botcar:family.Asteraceae,"to be added"
urn:cite:botcar:genera.Viola,Viola,urn:cite:botcar:family.Violaceae,"to be added"
urn:cite:botcar:genera.Vitis,Vitis,urn:cite:botcar:family.Vitaceae,"to be added"
urn:cite:botcar:genera.Woodwardia,Woodwardia,urn:cite:botcar:family.Blechnaceae,"to be added"
urn:cite:botcar:genera.Xyris,Xyris,urn:cite:botcar:family.Xyridaceae,"to be added"
urn:cite:botcar:genera.Zizania,Zizania,urn:cite:botcar:family.Poaceae,"to be added"
